scenario,counterparty,netting_set,time_years,ee,pfe_95,default_weighted_ee,default_weighted_pfe_95,mean_hazard,mean_default_probability
severe,Bank A,NS_BANK_A,0.75,568170.0350272151,2505304.127931611,728976.1187545626,2873883.889585296,0.01623631284278846,0.003976539897379524
severe,Bank A,NS_BANK_A,1.0,663598.3805882253,3042937.523213204,877505.2578140995,3512568.6942800535,0.01651903551441351,0.00403493962270808
severe,Bank A,NS_BANK_A,1.25,755402.5811837421,3420902.50479405,1013014.0226928213,4024950.5606490006,0.01676173977912303,0.004081480990994561
severe,Bank A,NS_BANK_A,1.5,852334.0527691456,3928400.2317915275,1148613.988396898,4677695.644737006,0.017061140751881466,0.00412941397521299
severe,Bank A,NS_BANK_A,1.75,933410.7893776043,4400972.647969789,1267859.9594436663,5242504.851054151,0.017237278873045367,0.004168527431831804
severe,Bank A,NS_BANK_A,2.0,27620.11339255808,218875.9102245093,27690.723859530324,221739.14677326637,0.017382280083589427,0.004188436304970123
severe,Bank A,NS_BANK_A,2.25,39283.34292680094,313470.271169087,38737.60556817235,311553.9502076233,0.017510746937306202,0.004202287824342467
severe,Bank A,NS_BANK_A,2.5,52088.92504365832,391867.13802693394,52062.13798328978,393977.0693526474,0.017653641750152372,0.004215633296523298
severe,Bank A,NS_BANK_A,2.75,69757.1073992064,492271.5298743889,69154.91359924225,491228.7681733323,0.017741595357967505,0.004223877120682924
severe,Bank A,NS_BANK_A,3.0,91348.22428414486,604062.0198966303,90303.68054580319,593107.6812730064,0.017860230687197304,0.004228963482486874
severe,Bank A,NS_BANK_A,3.25,89546.23290434468,586090.4424682029,88864.93222405267,583826.4419020439,0.017875514997561227,0.004225297745357273
severe,Bank A,NS_BANK_A,3.5,87573.9598918514,534409.2747918768,86120.67202385934,526264.1983339363,0.017910036217688923,0.004211708648575037
severe,Bank A,NS_BANK_A,3.75,81192.6364680491,495812.9260568026,80006.54081333966,492193.3218925645,0.017883777720785338,0.004193578621572474
severe,Bank A,NS_BANK_A,4.0,74078.47477380438,447643.46708300203,72941.61412207095,443694.9592134261,0.01791030223126841,0.004174798681120347
severe,Bank A,NS_BANK_A,4.25,61176.57560347217,362242.6371730863,60922.84974851288,359233.3406363838,0.018014057213942176,0.004171205294044763
severe,Bank A,NS_BANK_A,4.5,47048.16220108965,265870.9220464076,46912.95973096246,264689.05853565835,0.01806010265486292,0.0041696327559617285
severe,Bank A,NS_BANK_A,4.75,27237.416999277924,152971.11464102386,27368.020145374197,153163.1473300177,0.01806379968129397,0.004156284109961831
severe,Bank A,NS_BANK_A,5.0,0.0,0.0,0.0,0.0,0.018041743300265298,0.0041352857641691445
severe,Bank B,NS_BANK_B,0.0,2429409.6390643553,2429409.6390643553,2429409.6390643553,2429409.6390643553,0.024999999999999998,0.0
severe,Bank B,NS_BANK_B,0.25,2446197.908025996,4099184.729755195,2536037.7243595063,4197531.311753931,0.02601279757451292,0.00635600564800506
severe,Bank B,NS_BANK_B,0.5,2446078.8372038957,4886540.230057014,2682563.357726578,5152975.044190102,0.026901413306493396,0.00654814795015146
severe,Bank B,NS_BANK_B,0.75,2568734.9632222215,5356984.357284154,2877670.347989285,5726888.109434075,0.027633988696340622,0.0067005055275794504
severe,Bank B,NS_BANK_B,1.0,2427980.007026068,5306712.8491593115,2769746.1848397334,5725574.847491626,0.028118397680198245,0.006799563686706463
severe,Bank B,NS_BANK_B,1.25,2330822.207648764,5379940.770263657,2705004.294095438,5768535.534650842,0.0285006841231597,0.006853664192902232
severe,Bank B,NS_BANK_B,1.5,2607127.730739273,5457882.113686276,2958364.070984154,5819470.551055196,0.028647187553312255,0.00686586436496853
severe,Bank B,NS_BANK_B,1.75,2473421.9857779066,5591836.498347781,2856188.145967444,6014481.657919758,0.028960977747027994,0.006869277002165083
severe,Bank B,NS_BANK_B,2.0,2358953.080759417,5657456.490130378,2760461.371479278,6062325.602016138,0.029196958958913683,0.006882375721263475
severe,Bank B,NS_BANK_B,2.25,2212002.793539523,5646167.854090187,2618715.1575984717,6112751.905996087,0.029323060574214823,0.006872718049944902
severe,Bank B,NS_BANK_B,2.5,2095567.8789492662,5680617.083208686,2503712.706500182,6208429.457853235,0.029459150199131187,0.006851288128921681
severe,Bank B,NS_BANK_B,2.75,2031179.8949253205,5882947.438050219,2450020.4561891626,6381827.390697313,0.029652766053896915,0.0068377901022701965
severe,Bank B,NS_BANK_B,3.0,537539.5275357421,1317804.565462289,581487.2085996515,1369267.4630298186,0.02967916081934326,0.006811576946306652
severe,Bank B,NS_BANK_B,3.25,481587.1833073245,1209030.7353542193,519694.62157009024,1253730.4406675242,0.029737141064521324,0.0067696336903713475
severe,Bank B,NS_BANK_B,3.5,421640.5210044276,1067134.8029816693,454861.3517268636,1100949.148269118,0.029832477316419817,0.006735941033275745
severe,Bank B,NS_BANK_B,3.75,357653.773058865,934083.6678012143,386839.7984926201,961615.3904664482,0.0298925651454097,0.006703259752489734
severe,Bank B,NS_BANK_B,4.0,297390.02587653615,795041.1308912577,322260.92244144663,820490.3401675969,0.029979076212436836,0.006669822940511733
severe,Bank B,NS_BANK_B,4.25,229891.25142684774,625089.922281582,248839.63761595055,643623.8163294857,0.02985994326387605,0.006616508084699948
severe,Bank B,NS_BANK_B,4.5,158339.05147880942,435970.6087113839,171205.20518992143,451988.8690396295,0.02988816881088801,0.006557368904713476
severe,Bank B,NS_BANK_B,4.75,81903.26493609822,231936.6745117516,89052.07068027987,243149.10112724165,0.029898819958062005,0.006512582365070589
severe,Bank B,NS_BANK_B,5.0,0.0,0.0,0.0,0.0,0.02994080315820606,0.006469540930563784
severe,Fund C,NS_FUND_C,0.0,0.0,0.0,0.0,0.0,0.02,0.0
severe,Fund C,NS_FUND_C,0.25,92217.81900887525,464819.17058477004,97648.83821657526,479153.21262309514,0.020590691963587034,0.005060800137222358
severe,Fund C,NS_FUND_C,0.5,142412.90662158743,665526.9418206592,160464.67339964164,721402.0737424588,0.021059316857995107,0.005164945944844627
severe,Fund C,NS_FUND_C,0.75,170800.84480274946,857980.094296205,204441.13296895687,962213.5886899935,0.02148885163788112,0.005246560970884028
severe,Fund C,NS_FUND_C,1.0,198262.8492591065,1008498.8289968041,245240.8722864712,1168903.1538206604,0.021959877673543862,0.005326468949391414
severe,Fund C,NS_FUND_C,1.25,229427.24483315897,1177736.2018800867,288692.3572871911,1369550.0347384547,0.022239631742198823,0.005386395560979067
severe,Fund C,NS_FUND_C,1.5,263196.8941117645,1344501.197910574,337072.3065604562,1603883.1077089282,0.022592270467032827,0.005430707437768807
severe,Fund C,NS_FUND_C,1.75,292869.7303828418,1506072.6282566132,381533.7591677391,1838496.6569483376,0.02281479655279592,0.005467098413973162
severe,Fund C,NS_FUND_C,2.0,143341.88452751466,804512.3718165638,172927.83757060257,947233.157622733,0.022981352448275833,0.0054804516495341625
severe,Fund C,NS_FUND_C,2.25,160414.57430000472,867597.830061485,194635.31305871357,1067326.2903356417,0.02315657654154303,0.0054879057939400495
severe,Fund C,NS_FUND_C,2.5,178445.74547899203,946407.4888318048,217631.3915934027,1163756.80833058,0.023345964306786107,0.005497828801625243
severe,Fund C,NS_FUND_C,2.75,193487.20039909636,1045239.5840736971,236313.39365494365,1220654.7729378657,0.023470484312618646,0.005501323891651988
severe,Fund C,NS_FUND_C,3.0,210245.24681312442,1152307.3390684824,257836.42112504668,1353039.829465326,0.023619277613288147,0.005499880135085323
severe,Fund C,NS_FUND_C,3.25,230561.58512427178,1240829.27877644,284715.96754925745,1453289.8823386529,0.023703784078961298,0.005493543684591374
severe,Fund C,NS_FUND_C,3.5,246761.59900311637,1331880.3058772779,305370.2123012894,1600232.8154773717,0.023773810355925178,0.005477850857105495
severe,Fund C,NS_FUND_C,3.75,263437.036406516,1474421.1905309889,326413.4791966426,1728356.273470664,0.023837299966619527,0.005460002665689706
severe,Fund C,NS_FUND_C,4.0,286171.09900338476,1586894.428530865,354520.5495141674,1888138.9145955588,0.023907384107808467,0.00544210523609389
severe,Fund C,NS_FUND_C,4.25,298565.62191771314,1721923.9400041278,369216.22869805916,2020037.9157169485,0.024012919426968864,0.005428882764978048
severe,Fund C,NS_FUND_C,4.5,315088.1085687162,1845712.2794872408,389904.8321214243,2119831.249248686,0.024002924326058113,0.005406932608137874
severe,Fund C,NS_FUND_C,4.75,329652.4982318342,1973392.5128042751,410496.1594521695,2263496.545762687,0.024033279162686137,0.005376650147258595
severe,Fund C,NS_FUND_C,5.0,0.0,0.0,0.0,0.0,0.02396943245226551,0.0053403276874397256
